PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Hotel,DOWNTOWN,1927,1.0,12,88434,0,88434,Hotel,,81.69999695,3946027.0,1276453.0
Hotel,DOWNTOWN,1996,1.0,11,103566,15064,88502,Hotel,Parking,94.80000305,3242851.0,5145082.0
Hotel,DOWNTOWN,1969,1.0,41,956110,196718,759392,Hotel,,96.0,49526664.0,1493800.0
Hotel,DOWNTOWN,1926,1.0,10,61320,0,61320,Hotel,,110.8000031,2768924.0,1811213.0
Hotel,DOWNTOWN,1980,1.0,18,175580,62000,113580,Hotel,Parking,114.8000031,5368607.0,8803998.0
Other,DOWNTOWN,1999,1.0,2,97288,37198,60090,Police Station,,136.1000061,7371434.0,4715182.0
Hotel,DOWNTOWN,1926,1.0,11,83008,0,83008,Hotel,,70.80000305,2811215.0,2947580.0
Other,DOWNTOWN,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,,61.29999924,3636655.0,385189.0
Hotel,DOWNTOWN,1904,1.0,15,163984,0,163984,Hotel,,83.69999695,7297919.0,6425900.0
Hotel,DOWNTOWN,1969,1.0,11,153163,19279,133884,Hotel,,119.5999985,6187627.0,4591850.0
Hotel,DOWNTOWN,1998,1.0,25,333176,61161,272015,Hotel,,80.0,18083049.0,2858700.0
Hotel,DOWNTOWN,1928,1.0,9,65009,0,65009,Hotel,,101.5,1343000.0,3596705.0
Hotel,DOWNTOWN,1980,1.0,33,315952,57600,258352,Hotel,Parking,75.5,13904183.0,4083440.0
Hotel,DOWNTOWN,1922,1.0,11,92190,25200,66990,Hotel,Parking,159.5,3832369.0,2046793.0
Other,DOWNTOWN,2004,1.0,11,412000,57000,355000,Library,Parking,50.79999924,17851297.0,0.0
Other,DOWNTOWN,1930,1.0,6,103911,0,103911,Fitness Center/Health Club/Gym,Office,76.59999847,4453868.0,910180.0
Hotel,DOWNTOWN,1983,1.0,28,416281,85000,331281,Hotel,Parking,96.30000305,21225277.0,12331475.0
Mixed Use Property,DOWNTOWN,1907,1.0,5,57452,0,57452,Social/Meeting Hall,Restaurant,132.3999939,3764791.0,2065091.0
Hotel,DOWNTOWN,1916,1.0,10,104352,0,104352,Hotel,,97.30000305,5908370.0,815376.0
Other,DOWNTOWN,1916,1.0,10,540360,0,540360,Courthouse,,83.69999695,24357833.0,20626631.0
Other,DOWNTOWN,1985,1.0,19,385274,0,385274,Other,,124.1999969,18257661.0,29602150.0
K-12 School,SOUTHEAST,1961,1.0,2,56228,0,56228,K-12 School,,26.10000038,936955.0,602523.0
Hotel,NORTHEAST,2001,1.0,6,88592,30586,58006,Hotel,Parking,63.20000076,2266231.0,1397303.0
University,DOWNTOWN,1928,1.0,7,126593,0,126593,College/University,,90.69999695,4647474.0,6696211.0
Other,DOWNTOWN,1930,1.0,2,67224,0,67224,Automobile Dealership,,19.5,1310236.0,0.0
Hotel,EAST,1991,1.0,8,158676,30301,128375,Hotel,Parking,45.5,572307.0,4755745.0
Hotel,DOWNTOWN,2001,1.0,10,171866,38281,133585,Hotel,,85.80000305,5610706.0,5451210.0
K-12 School,Central,1955,1.0,1,126351,0,126351,K-12 School,,0.0,0.0,0.0
Hotel,DOWNTOWN,1978,1.0,5,68410,16200,52210,Hotel,,92.90000153,2346349.0,2110365.0
K-12 School,NORTH,1949,1.0,2,160645,0,160645,K-12 School,,41.29999924,1947601.0,4831572.0
K-12 School,MAGNOLIA / QUEEN ANNE,1989,1.0,2,51582,0,51582,K-12 School,,0.0,1496816.0,0.0
Small- and Mid-Sized Office,LAKE UNION,1906,1.0,3,87262,0,87262,Office,K-12 School,61.5,1352843.0,2793077.0
Hotel,NORTHEAST,1994,1.0,4,81871,0,81871,Hotel,,81.5,3016399.0,3652169.0
Self-Storage Facility,NORTHEAST,1955,1.0,2,110356,0,110356,Self-Storage Facility,,12.10000038,281265.0,37100.0
